willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,k,k,l,l,l
"Yes, I am happy to participate in this survey",,,"University Faculty or Staff, Educator",More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Not applicable,Test ,Test ,Test ,Test ,Test 
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Not applicable,Sample,Sample,Sample,Sample,Sample
"Yes, I am happy to participate in this survey",,,"Student, RESEARCH SCHOLAR",Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I WAS MADE MORE AWARE ON HOW I CAN HELP IN MY COMMUNITY TO MAKE IT FLOURISH,YES IT HAS AS BECAUSE NEWER HORIZONS WHICH I HAD NOT YET EXPLORED WERE PRESENTED BY WAYS IN WHICH I CAN CONTRIBUTE TO MY COMMUNITY,IT WAS ONE OF THE MOST INTRIGUING AND INTERESTING SESSIONS THAT I HAVE ATTENDED,THE INFORMATION OF ATTENDING SUCH AN ENRICHING CONFERENCE CAME VERY LATE SO KINDLY INFORM PRIOR 2-3 DAYS OF THE CONFERENCE,N/A
"Yes, I am happy to participate in this survey",,,Scholar,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Learned about the problems and barriers of quality education.,Yes. I need to be involved in community development,Good Experience,"Its good, well aaranged.","Every year, such conferences are appreciated."
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,.,.,.,.,.
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",Good ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes ,Yes ,Yes ,Yes ,It was good 
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Educator,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Educator centric,Learning ,Awesome ,No,No
"Yes, I am happy to participate in this survey",,,"Student, Research Scholar ",Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",NIL,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Education is power.,Yes,Inspired,NIL ,NIL 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The concept of community and service learning is enriched ,Yes ..,Brainstorming session ,It was wonderful ,N/a
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Education doesn't have any borders ,I want to work more ,Nice experience ,Nothing ,Nothing 
"Yes, I am happy to participate in this survey",,,"Alumnus | Coordinator, Content Team",Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good learning,To rethink and commit.,Fun time.,Staying on time.,Nothing else.
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Good insights ,Yes,Good,It's better already ,Nope
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,I got to learn about some of the things that my university is engaged in,It has made me think about how I can participate in my community ,It was good,It was good,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Agree,Loved the panels,Yes,Good and excellent,More participants,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Being bold and open about the resources and the reality to which we live in and access ,"Yes, made me more motivated to work towards the community ",It was emotional and quite refreshing ,More time given for panel discussion ,NA
"Yes, I am happy to participate in this survey",,,Educator,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,_,_,_,_,_
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,It taught us to dream and the importance of inclusivity,Yes,It was inspiring,It was good,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Motivation to do better. Perspective on education ,"Yes, it has given me new insights",Good and pleasant ,Having a snack,No.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Inclusion of diversity in all age groups,Yes,Brilliant ,More panels and time for discussion ,NA
"Yes, I am happy to participate in this survey",,,Educator,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",Nothing ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Creativity ,Yes,Nice,Nothing ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Let us Dream,Yes,Good,More diversity and experiences to share ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,I'm now motivated towards community work,Yes,It was a great experience ,It was already very good ,No
"Yes, I am happy to participate in this survey",,,Educator,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Immersive education was very impressive,Yes,It was very informative ,NA,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Community building and focusing on change,"Definitely, I would want to spend more time in thinking in how to improve my social surroundings.",Good,More activities ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Gathering more exposure on community stuffs ,Yes sure it has increased a lot,Very informative ,More participation ,Nil
